img_path,table_mask,original_height,original_width,hasTable,table_count,table_bboxes
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(0).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(0).png,1024,1024,1,1,"[[29, 777, 985, 902], [29, 908, 985, 932], [668, 933, 996, 996], [26, 23, 988, 134]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(19).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(19).png,1024,1024,1,1,"[[104, 208, 895, 941]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(20).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(20).png,1024,1024,1,1,"[[101, 88, 901, 943]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(21).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(21).png,1024,1024,1,1,"[[97, 89, 903, 434]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(22).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(22).png,1024,1024,1,1,"[[112, 203, 907, 905]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(23).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(23).png,1024,1024,1,1,"[[108, 90, 907, 785]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(24).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(24).png,1024,1024,1,1,"[[110, 90, 910, 902]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(25).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(25).png,1024,1024,1,1,"[[104, 85, 910, 857]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(26).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(26).png,1024,1024,1,1,"[[104, 114, 919, 936]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(27).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(27).png,1024,1024,1,1,"[[106, 88, 920, 895]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(28).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(28).png,1024,1024,1,1,"[[112, 89, 927, 916]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(29).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(29).png,1024,1024,1,1,"[[110, 85, 920, 943]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(30).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(30).png,1024,1024,1,1,"[[106, 82, 918, 874]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(31).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(31).png,1024,1024,1,1,"[[348, 91, 1020, 611]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(32).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(32).png,1024,1024,1,1,"[[97, 119, 913, 935]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(33).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(33).png,1024,1024,1,1,"[[104, 88, 916, 945]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(34).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(34).png,1024,1024,1,1,"[[103, 90, 915, 946]]"
./resized_binary/generator/Document Numbering_GM004-DM-SPE-000-00002_B07(35).png,data/generator_masked/binary/masks_generator/table/Document Numbering_GM004-DM-SPE-000-00002_B07(35).png,1024,1024,1,1,"[[104, 92, 916, 946]]"
